id,stn
465,433460
466,433530
467,433690
468,433710
469,434000
470,434130
471,434180
472,434500
473,435550
474,435990
475,442070
476,442120
477,442140
478,442190
479,442290
480,442320
481,442370
482,442410
483,442590
484,442770
485,442820
486,442840
487,442870
488,442880
489,442920
490,442980
491,443040
492,443050
493,443140
494,443170
495,443290
496,443410
497,443470
498,443520
499,443540
500,443730
501,443740
502,443850
503,450040
504,450050
505,450070
506,450110
507,466860
508,466890
509,466920
510,466940
511,466950
512,466960
513,466970
514,466990
515,467060
516,467080
517,467300
518,467340
519,467350
520,467360
521,467400
522,467410
523,467425
524,467430
525,467440
526,467450
527,467460
528,467480
529,467490
530,467500
531,467510
532,467520
533,467530
534,467540
535,467550
536,467560
537,467570
538,467580
539,467590
540,467600
541,467610
542,467620
543,467630
544,467640
545,467650
546,467660
547,467690
548,467700
549,467720
550,467770
551,467800
552,468100
553,470311
554,470312
555,472185
556,474010
557,474020
558,474040
559,474050
560,474060
561,474070
562,474090
563,474110
564,474120
565,474130
566,474170
567,474180
568,474200
569,474210
570,474230
571,474240
572,474250
573,474260
574,474280
575,474300
576,474330
577,474340
578,474350
579,474400
580,474410
581,474740
582,474760
583,474790
584,474810
585,474830
586,474880
587,474890
588,474900
589,475120
590,475150
591,475160
592,475200
593,475420
594,475450
595,475490
596,475530
597,475570
598,475690
599,475700
600,475730
601,475740
602,475750
603,475760
604,475800
605,475810
606,475820
607,475830
608,475840
609,475850
610,475870
611,475874
612,475880
613,475900
614,475910
615,475920
616,475970
617,475980
618,476000
619,476020
620,476040
621,476050
622,476060
623,476120
624,476170
625,476180
626,476200
627,476240
628,476290
629,476310
630,476340
631,476345
632,476350
633,476360
634,476370
635,476380
636,476390
637,476400
638,476410
639,476420
640,476430
641,476480
642,476490
643,476500
644,476530
645,476540
646,476550
647,476570
648,476580
649,476600
650,476620
651,476630
652,476660
653,476680
654,476710
655,476720
656,476730
657,476740
658,476741
659,476742
660,476750
661,476770
662,476780
663,476790
664,476800
665,476810
666,476830
667,476840
668,476860
669,476870
670,476880
671,476900
672,476960
673,477000
674,477040
675,477060
676,477070
677,477090
678,477150
679,477270
680,477350
681,477370
682,477380
683,477390
684,477400
685,477410
686,477420
687,477430
688,477440
689,477460
690,477470
691,477473
692,477500
693,477540
694,477550
695,477560
696,477590
697,477620
698,477640
699,477641
700,477650
701,477660
702,477670
703,477690
704,477700
705,477710
706,477720
707,477740
708,477760
709,477770
710,477780
711,477790
712,477820
713,477830
714,477860
715,477870
716,477880
717,477890
718,477895
719,477900
720,477930
721,477940
722,477990
723,477991
724,478000
725,478030
726,478050
727,478070
728,478080
729,478090
730,478100
731,478120
732,478140
733,478150
734,478160
735,478170
736,478180
737,478190
738,478210
739,478220
740,478230
741,478240
742,478270
743,478290
744,478300
745,478310
746,478350
747,478360
748,478370
749,478380
750,478400
751,478430
752,478440
753,478500
754,478510
755,478520
756,478530
757,478540
758,478550
759,478560
760,478570
761,478580
762,478700
763,478720
764,478800
765,478810
766,478820
767,478830
768,478840
769,478870
770,478900
771,478910
772,478920
773,478930
774,478950
775,478970
776,478980
777,478990
778,479090
779,479100
780,479110
781,479170
782,479180
783,479270
784,479276
785,479290
786,479300
787,479310
788,479330
789,479350
790,479360
791,479400
792,479420
793,479450
794,479710
795,479810
796,479910
797,483000
798,483030
799,483032
800,483270
801,483280
802,483520
803,483530
804,483540
805,483545
806,483570
807,483575
808,483750
809,483760
810,483770
811,483780
812,483790
813,483800
814,483810
815,483820
816,483830
817,483900
818,484000
819,484005
820,484006
821,484030
822,484050
823,484070
824,484075
825,484076
826,484250
827,484260
828,484300
829,484310
830,484316
831,484320
832,484500
833,484550
834,484560
835,484590
836,484600
837,484610
838,484620
839,484650
840,484750
841,484770
842,484775
843,484780
844,485000
845,485010
846,485170
847,485320
848,485500
849,485510
850,485576
851,485577
852,485640
853,485650
854,485660
855,485670
856,485680
857,485690
858,485800
859,485830
860,486000
861,486010
862,486020
863,486021
864,486022
865,486023
866,486030
867,486150
868,486180
869,486190
870,486200
871,486250
872,486470
873,486475
874,486500
875,486570
876,486650
877,486740
878,486790
879,486940
880,486980
881,486990
882,488030
883,488060
884,488080
885,488100
886,488200
887,488230
888,488260
889,488300
890,488390
891,488400
892,488450
893,488460
894,488480
895,488490
896,488510
897,488515
898,488520
899,488525
900,488526
901,488550
902,488561
903,488600
904,488630
905,488635
906,488640
907,488660
908,488665
909,488671
910,488676
911,488685
912,488695
913,488700
914,488730
915,488750
916,488770
917,488810
918,488815
919,488840
920,488870
921,488885
922,488896
923,488910
924,488915
925,488925
926,488926
927,488935
928,488960
929,488962
930,488970
931,489000
932,489005
933,489006
934,489015
935,489041
936,489070
937,489100
938,489105
939,489111
940,489125
941,489130
942,489140
943,489170
944,489180
945,489300
946,489350
947,489400
948,489470
949,489480
950,489550
951,489660
952,489910
953,501360
954,503530
955,504340
956,504680
957,505270
958,505480
959,505570
960,505640
961,506030
962,506320
963,506580
964,507270
965,507450
966,507560
967,507740
968,507880
969,508440
970,508540
971,508620
972,508880
973,509150
974,509490
975,509530
976,509630
977,509680
978,509780
979,509830
980,510530
981,510760
982,510870
983,511330
984,511560
985,512320
986,512430
987,512880
988,513340
989,513460
990,513560
991,513790
992,514310
993,514630
994,514635
995,514670
996,514950
997,515420
998,515670
999,515730
1000,516280
1001,516440
1002,516560
1003,517090
1004,517110
1005,517160
1006,517300
1007,517470
1008,517650
1009,517770
1010,518110
1011,518180
1012,518280
1013,518390
1014,518480
1015,518550
1016,518860
1017,519310
1018,521120
